Time,Dist4_8,Dist12_0,Dist16_0,Dist20_0
0,0.5814857,0.9954391,0.9295832,0.7991331
0.02,0.5814857,0.9954391,0.9295832,0.7991331
0.04,0.5814857,0.9954391,0.9295832,0.7991331
0.0950629,0.5814857,0.9954391,0.9295832,0.7991331
0.114746,0.5814857,0.9954391,0.9295832,0.7991331
0.121034,0.5814857,0.9954391,0.9295832,0.7991331
0.1363684,0.5814857,0.9954391,0.9295832,0.7991331
0.1483868,0.5814857,0.9954391,0.9295832,0.7991331
0.1674004,0.5814857,0.9954391,0.9295832,0.7991331
0.1758899,0.5814857,0.9954391,0.9295832,0.7991331
0.1904274,0.5814857,0.9954391,0.9295832,0.7991331
0.2054319,0.5814857,0.9954391,0.9295832,0.7991331
0.219289,0.5814857,0.9954391,0.9295832,0.7991331
0.2337753,0.5814857,0.9954391,0.9295832,0.7991331
0.2464024,0.5814857,0.9954391,0.9295832,0.7991331
0.2601148,0.5814857,0.9954391,0.9295832,0.7991331
0.2740455,0.5814857,0.9954391,0.9295832,0.7991331
0.2880424,0.5814857,0.9954391,0.9295832,0.7991331
0.3030056,0.5814857,0.9954391,0.9295832,0.7991331
0.3170536,0.5814857,0.9954391,0.9295832,0.7991331
0.3291085,0.5814857,0.9954391,0.9295832,0.7991331
0.3430423,0.5814857,0.9954391,0.9295832,0.7991331
0.3570237,0.5814857,0.9954391,0.9295832,0.7991331
0.3703314,0.5814857,0.9954391,0.9295832,0.7991331
0.3836336,0.5814857,0.9954391,0.9295832,0.7991331
0.3978315,0.5814857,0.9954391,0.9295832,0.7991331
0.4129473,0.5814857,0.9954391,0.9295832,0.7991331
0.4264033,0.5814857,0.9954391,0.9295832,0.7991331
0.4392067,0.5814857,0.9954391,0.9295832,0.7991331
0.4528873,0.5814857,0.9954391,0.9295832,0.7991331
0.4667386,0.5814857,0.9954391,0.9295832,0.7991331
0.4809196,0.5814857,0.9954391,0.9295832,0.7991331
0.4948825,0.5814857,0.9954391,0.9295832,0.7991331
0.5101473,0.5814857,0.9954391,0.9295832,0.7991331
0.5235218,0.5814857,0.9954391,0.9295832,0.7991331
0.5368921,0.5814857,0.9954391,0.9295832,0.7991331
0.5507038,0.5814857,0.9954391,0.9295832,0.7991331
0.5665272,0.5814857,0.9954391,0.9295832,0.7991331
