Time,Dist8_0,Dist12_0,Dist16_0,Dist20_0
0,0.9473459,0.9954391,0.9295832,0.7991331
0.02,0.9473459,0.9954391,0.9295832,0.7991331
0.04,0.9473459,0.9954391,0.9295832,0.7991331
0.1580331,0.9473459,0.9954391,0.9295832,0.7991331
0.1805346,0.9473459,0.9954391,0.9295832,0.7991331
0.1932215,0.9473459,0.9954391,0.9295832,0.7991331
0.2036178,0.9473459,0.9954391,0.9295832,0.7991331
0.2146574,0.9473459,0.9954391,0.9295832,0.7991331
0.2304164,0.9473459,0.9954391,0.9295832,0.7991331
0.2445886,0.9473459,0.9954391,0.9295832,0.7991331
0.2583335,0.9473459,0.9954391,0.9295832,0.7991331
0.2718868,0.9473459,0.9954391,0.9295832,0.7991331
0.2866004,0.9473459,0.9954391,0.9295832,0.7991331
0.3004549,0.9473459,0.9954391,0.9295832,0.7991331
0.3141653,0.9473459,0.9954391,0.9295832,0.7991331
0.3281681,0.9473459,0.9954391,0.9295832,0.7991331
0.3409464,0.9473459,0.9954391,0.9295832,0.7991331
0.3555501,0.9473459,0.9954391,0.9295832,0.7991331
0.3685244,0.9473459,0.9954391,0.9295832,0.7991331
0.3848384,0.9473459,0.9954391,0.9295832,0.7991331
0.399272,0.9473459,0.9954391,0.9295832,0.7991331
0.4122409,0.9473459,0.9954391,0.9295832,0.7991331
0.4262314,0.9473459,0.9954391,0.9295832,0.7991331
0.4388079,0.9473459,0.9954391,0.9295832,0.7991331
0.4513878,0.9473459,0.9954391,0.9295832,0.7991331
0.4656341,0.9473459,0.9954391,0.9295832,0.7991331
0.4808371,0.9473459,0.9954391,0.9295832,0.7991331
0.4931597,0.9473459,0.9954391,0.9295832,0.7991331
0.5082461,0.9473459,0.9954391,0.9295832,0.7991331
0.5221835,0.9473459,0.9954391,0.9295832,0.7991331
0.5346236,0.9473459,0.9954391,0.9295832,0.7991331
0.5486756,0.9473459,0.9954391,0.9295832,0.7991331
0.5621341,0.9473459,0.9954391,0.9295832,0.7991331
0.5763783,0.9473459,0.9954391,0.9295832,0.7991331
0.5899891,0.9473459,0.9954391,0.9295832,0.7991331
0.6049802,0.9473459,0.9954391,0.9295832,0.7991331
0.6186181,0.9473459,0.9954391,0.9295832,0.7991331
0.6319948,0.9473459,0.9954391,0.9295832,0.7991331
0.6468164,0.9473459,0.9954391,0.9295832,0.7991331
0.6602156,0.9473459,0.9954391,0.9295832,0.7991331
0.6744565,0.9473459,0.9954391,0.9295832,0.7991331
