Time,Position
6.374372,0
6.382357,0
6.393347,0
6.400328,0
6.412408,0
6.415085,0
6.417115,0
6.418982,0
6.420937,0
6.422918,0
6.424966,0
6.426847,0
6.428951,0
6.431915,0
6.433757,0
6.435546,0
6.437472,0
6.439306,0
6.441057,0
6.443128,0
6.445717,0
6.447764,0
6.44973,0
6.451385,0
6.453107,0
6.454962,0
6.456796,0
6.458554,0
6.460735,0
6.46298,0
6.465003,0
6.469141,0
6.471201,0
6.473404,0
6.47557,0
6.477432,0
6.479412,0
6.481534,0
6.483648,0
6.485647,0
6.487178,0
6.488685,0
6.490717,0
6.492664,0
6.494349,0
6.496803,0
6.498946,0
6.500712,0
6.503017,0
6.504951,0
6.506667,0
6.508481,0
6.510632,0
6.512878,0
6.514937,0
6.516787,0
6.518537,0
6.520283,0
6.522197,0
6.523981,0
6.525792,0
6.527561,0
6.529207,0
6.530935,0
6.532688,0
6.534342,0
6.535865,0
6.537591,0
6.539623,0
6.541156,0
6.54291,0
6.54476,0
6.546496,0
6.548382,0
6.55002,0
6.552107,0
6.553978,0
6.555574,0
6.557332,0
6.558876,0
6.560382,0
6.561902,0
6.56411,0
6.565983,0
6.567738,0
6.569888,0
6.571756,0
6.573527,0
6.575432,0
6.577375,0
6.579317,0
6.581323,0
6.583268,0
6.584794,0
6.586284,0
6.588017,0
6.589517,0
6.590947,0
6.608283,0
6.620534,0
6.626177,0
6.632642,0
6.634731,0
6.63727,0
6.63939,0
6.6424,0
6.644953,0
6.647239,0
6.649918,0
6.652001,0
6.65428,0
6.657304,0
6.662011,0
6.665058,0
6.6678,0
6.669852,0
6.672572,0
6.674435,0
6.676059,0
6.677851,0
6.679744,0
6.682594,0
6.684769,0
6.686557,0
6.68854,0
6.690467,0
6.692316,0
6.693926,0
6.695757,0
6.698402,0
6.700152,0
6.702335,0
6.704803,0
6.706652,0
6.708799,0
6.711004,0
6.713475,0
6.715411,0
6.717052,0
6.718606,0
6.720881,0
6.723017,0
6.724936,0
6.726871,0
6.729294,0
6.731343,0
6.733435,0
6.735373,0
6.737757,0
6.739814,0
6.741493,0
6.743372,0
6.745834,0
6.747955,0
6.749802,0
6.751537,0
6.753558,0
6.755147,0
6.756822,0
6.758476,0
6.760486,0
6.762408,0
6.764639,0
6.766201,0
6.767948,0
6.770678,0
6.772593,0
6.774541,0
6.776634,0
6.77865,0
6.780732,0
6.782868,0
6.785231,0
6.787405,0
6.789306,0
6.790932,0
6.792723,0
6.794785,0
6.796601,0
6.798532,0
6.800443,0
6.802061,0
6.803847,0
6.805727,0
6.807431,0
6.809111,0
6.819479,0
6.821571,0
6.823686,0
6.825532,0
6.827211,0
6.829155,0
6.83136,0
6.833189,0
6.835139,0
6.837163,0
6.83904,0
6.840805,0
6.842751,0
6.844579,0
6.846619,0
6.848611,0
6.850164,0
6.851673,0
6.853348,0
6.85504,0
6.856634,0
6.858294,0
6.860119,0
6.862336,0
6.864109,0
6.865839,0
6.867412,0
6.868937,0
6.870385,0
6.872521,0
6.874407,0
6.875965,0
6.877831,0
6.880133,0
6.88232,0
6.884382,0
6.886418,0
6.888533,0
6.890508,0
6.892517,0
6.894172,0
6.895922,0
6.8981,0
6.899896,0
6.90191,0
6.90421,0
6.905903,0
6.907736,0
6.909884,0
6.912267,0
6.914401,0
6.916373,0
6.917995,0
6.91953,0
6.921278,0
6.922926,0
6.924671,0
6.926579,0
6.928451,0
6.930073,0
6.932345,0
6.934239,0
6.936038,0
6.937985,0
6.940057,0
6.942044,0
6.943614,0
6.945351,0
6.947045,0
6.949106,0
6.951247,0
6.952991,0
6.954815,0
6.956509,0
6.958176,0
6.959637,0
6.961137,0
6.963212,0
6.965399,0
6.96716,0
6.969039,0
6.970856,0
6.972496,0
6.974219,0
6.976024,0
6.978237,0
6.980541,0
6.982893,0
6.984643,0
6.98911,0
7.071293,0
7.082189,0
7.084527,0
7.08631,0
7.087793,0
7.089512,0
7.091561,0
7.093258,0
7.094905,0
7.096871,0
7.098848,0
7.100413,0
7.102577,0
7.104455,0
7.106011,0
7.107529,0
7.109673,0
7.111818,0
7.113822,0
7.115566,0
7.117268,0
7.118769,0
7.120321,0
7.122046,0
7.123798,0
7.125669,0
7.127539,0
7.129083,0
7.130522,0
7.132574,0
7.134495,0
7.136259,0
7.137888,0
7.139752,0
7.141603,0
7.143625,0
7.145533,0
7.147711,0
7.149622,0
7.151356,0
7.15293,0
7.154659,0
7.156536,0
7.158384,0
7.160382,0
7.162395,0
7.164306,0
7.166162,0
7.167879,0
7.169807,0
7.171453,0
7.173106,0
7.174832,0
7.176577,0
7.178503,0
7.18025,0
7.182302,0
7.183993,0
7.185767,0
7.187912,0
7.189537,0
7.191187,0
7.19301,0
7.194753,0
7.196287,0
7.197973,0
7.200293,0
7.202085,0
7.203736,0
7.205578,0
7.207344,0
7.208813,0
7.210413,0
7.212337,0
7.214484,0
7.216614,0
7.218583,0
7.220277,0
7.222478,0
7.224411,0
7.226087,0
7.227884,0
7.22997,0
7.232114,0
7.234014,0
7.236259,0
7.237938,0
7.239578,0
7.241786,0
7.575119,0
7.604825,0
7.61335,0
7.616443,0
7.619418,0
7.622349,0
7.625244,0
7.628247,0
7.631452,0
7.634374,0
7.637684,574.394
7.640549,574.394
7.650598,574.394
7.654411,574.394
7.658309,574.394
7.661028,574.394
7.663825,574.394
7.666901,574.394
7.669853,574.394
7.674462,574.394
7.685313,574.394
7.688783,574.394
7.69133,574.394
7.693629,574.394
7.695868,574.394
7.698421,574.394
7.700699,574.394
7.703264,574.394
7.70612,574.394
7.708417,574.3797
7.710829,574.3797
7.713278,574.3797
7.715926,574.3797
7.718036,574.3797
7.719917,574.3797
7.722053,574.3797
7.724057,574.3797
7.726613,574.3797
7.730709,574.3797
7.734852,574.3797
7.737032,574.3797
7.739428,574.376
7.741762,574.376
7.743932,574.376
7.746372,574.376
7.748646,574.376
7.75298,574.376
7.756416,574.376
7.758903,574.376
7.760828,574.376
7.762873,574.376
7.765151,574.376
7.767589,574.376
7.770657,574.3156
7.774681,574.3156
7.777401,574.3156
7.789613,574.3156
7.79181,574.3156
7.794017,574.3156
7.796359,574.3156
7.798663,574.3156
7.800665,574.3156
7.802783,574.3156
7.805351,574.3332
7.807758,574.3332
7.810015,574.3332
7.812081,574.3332
7.813901,574.3332
7.81882,574.3332
7.821609,574.3332
7.824041,574.3332
7.82609,574.3332
7.828002,574.3332
7.830316,574.3332
7.832532,574.3332
7.834846,574.3332
7.837799,574.3343
7.839944,574.3343
7.841844,574.3343
7.844653,574.3343
7.84718,574.3343
7.849376,574.3343
7.85184,574.3343
7.854081,574.3343
7.856302,574.3343
7.858325,574.3343
7.860506,574.3343
7.862535,574.3343
7.864534,574.3343
7.866821,574.3343
7.869011,574.3343
7.871317,574.337
7.874781,574.337
7.877501,574.337
7.881559,574.337
7.885459,574.337
7.887292,574.337
7.888867,574.337
7.890918,574.337
7.892819,574.337
7.894375,574.337
7.896002,574.337
7.897894,574.337
7.899457,574.337
7.900874,574.337
7.902534,574.337
7.905166,574.3395
7.908625,574.3395
7.911664,574.3395
7.913934,574.3395
7.916266,574.3395
7.918049,574.3395
7.919855,574.3395
7.922039,574.3395
7.923975,574.3395
7.925727,574.3395
7.927692,574.3395
7.929529,574.3395
7.93121,574.3395
7.932973,574.3395
7.934897,574.3395
7.936967,574.3395
7.939353,574.3425
7.94135,574.3425
7.943682,574.3425
7.945751,574.3425
7.947591,574.3425
7.950629,574.3425
7.9525,574.3425
7.954923,574.3425
7.957292,574.3425
7.959706,574.3425
7.961749,574.3425
7.963662,574.3425
7.965525,574.3425
7.967109,574.3425
7.968697,574.3425
7.970938,574.3425
7.97297,574.3489
7.974907,574.3489
7.977308,574.3489
7.987924,574.3489
7.989963,574.3489
7.991795,574.3489
7.993422,574.3489
7.995144,574.3489
7.996704,574.3489
7.99825,574.3489
7.999834,574.3489
8.001364,574.3489
8.002973,574.3489
8.00486,574.3306
8.008023,574.3306
8.010866,574.3306
8.013194,574.3306
8.015459,574.3306
8.01745,574.3306
8.019393,574.3306
8.020952,574.3306
8.022442,574.3306
8.024217,574.3306
8.025914,574.3306
8.027555,574.3306
8.029135,574.3306
8.031463,574.3306
8.033658,574.3306
8.035749,574.3306
8.038001,574.3306
8.040068,574.2928
8.041717,574.2928
8.044451,574.2928
8.046584,574.2928
8.048119,574.2928
8.05133,574.2928
8.053109,574.2928
8.055045,574.2928
8.057052,574.2928
8.058763,574.2928
8.060402,574.2928
8.062005,574.2928
8.063533,574.2928
8.06498,574.2928
8.066619,574.2928
8.068198,574.2928
8.069852,574.2928
8.072162,574.2958
8.074183,574.2958
8.075802,574.2958
8.07767,574.2958
8.079502,574.2958
8.081225,574.2958
8.083681,574.2958
8.085889,574.2958
8.087597,574.2958
8.08914,574.2958
8.090828,574.2958
8.092589,574.2958
8.094243,574.2958
8.096136,574.2958
8.098186,574.2958
8.099784,574.2958
8.101398,574.2958
8.103489,574.2958
8.10562,574.2958
8.107262,574.3022
8.109159,574.3022
8.111847,574.3022
8.113792,574.3022
8.115623,574.3022
8.117576,574.3022
8.119206,574.3022
8.121044,574.3022
8.12281,574.3022
8.124417,574.3022
8.125947,574.3022
8.127851,574.3022
8.129456,574.3022
8.13091,574.3022
8.13279,574.3022
8.134951,574.3022
8.136878,574.3022
8.139126,574.3022
8.141137,574.3269
8.142946,574.3269
8.145036,574.3269
8.147307,574.3269
8.149487,574.3269
8.151752,574.3269
8.153937,574.3269
8.155858,574.3269
8.157958,574.3269
8.159869,574.3269
8.161812,574.3269
8.164254,574.3269
8.166278,574.3269
8.168106,574.3269
8.170431,574.3269
8.173162,574.3395
8.175616,574.3395
8.17924,574.3395
8.191851,574.3395
8.194172,574.3395
8.196187,574.3395
8.198252,574.3395
8.200151,574.3395
8.20197,574.3395
8.203575,574.3395
8.20567,574.3395
8.208271,574.3468
8.210134,574.3468
8.212326,574.3468
8.214276,574.3468
8.216084,574.3468
8.219749,574.3468
8.221731,574.3468
8.223762,574.3468
8.225549,574.3468
8.227228,574.3468
8.22889,574.3468
8.230786,574.3468
8.232666,574.3468
8.234485,574.3468
8.236675,574.3468
8.239042,574.3468
8.240889,574.3425
8.243095,574.3425
8.245809,574.3425
8.2479,574.3425
8.249921,574.3425
8.252172,574.3425
8.254458,574.3425
8.25657,574.3425
8.258601,574.3425
8.260968,574.3425
8.263116,574.3425
8.264938,574.3425
8.266884,574.3425
8.268668,574.3425
8.270391,574.3425
8.272507,574.3425
8.274884,574.3395
8.277029,574.3395
8.279158,574.3395
8.281093,574.3395
8.282929,574.3395
8.284951,574.3395
8.286658,574.3395
8.288447,574.3395
8.290271,574.3395
8.292057,574.3395
8.293567,574.3395
8.295191,574.3395
8.29718,574.3395
8.29887,574.3395
8.300648,574.3395
8.302564,574.3395
8.304558,574.3395
8.306698,574.4677
8.308484,574.4677
8.310815,574.4677
8.312966,574.4677
8.314811,574.4677
8.317858,574.4677
8.319606,574.4677
8.321525,574.4677
8.323174,574.4677
8.324702,574.4677
8.326525,574.4677
8.328662,574.4677
8.330318,574.4677
8.332088,574.4677
8.333997,574.4677
8.335812,574.4677
8.337397,574.4677
8.339803,574.4677
8.34216,574.4999
8.343975,574.4999
8.346239,574.4999
8.348564,574.4999
8.350304,574.4999
8.35253,574.4999
8.354327,574.4999
8.356212,574.4999
8.358075,574.4999
8.359751,574.4999
8.361395,574.4999
8.363381,574.4999
8.365244,574.4999
8.367009,574.4999
8.368903,574.4999
8.370841,574.4999
8.372737,574.4999
8.374449,574.4976
8.3764,574.4976
8.379075,574.4976
8.381434,574.4976
8.393919,574.4976
8.395948,574.4976
8.39754,574.4976
8.399113,574.4976
8.400837,574.4976
8.40273,574.4976
8.404435,574.4976
8.406967,574.4976
8.409057,574.4867
